Symbol|Frequency|Huffman Codes
e|12.350835322195703%|011
i|9.904534606205251%|001
t|8.770883054892602%|000
o|7.935560859188544%|1101
n|6.921241050119331%|1011
r|6.563245823389022%|1001
s|6.026252983293556%|1000
a|5.310262529832936%|0100
l|4.116945107398569%|11111
d|4.05727923627685%|11101
h|3.9379474940334127%|11100
c|3.8782816229116945%|11001
p|3.162291169451074%|10100
u|2.8042959427207634%|01010
f|1.9689737470167064%|111100
g|1.8496420047732696%|110001
v|1.7899761336515514%|101011
m|1.4916467780429594%|010110
w|0.8949880668257757%|1010101
T|0.8949880668257757%|1100000
y|0.7756563245823389%|0101111
b|0.7159904534606205%|0101110
A|0.5966587112171837%|11110111
I|0.5369928400954653%|11110101
1|0.41766109785202865%|10101001
V|0.41766109785202865%|11000010
3|0.29832935560859186%|111101101
x|0.23866348448687352%|111101001
2|0.23866348448687352%|111101100
k|0.17899761336515513%|101010000
j|0.11933174224343676%|1010100011
q|0.11933174224343676%|1100001101
5|0.11933174224343676%|1100001100
W|0.11933174224343676%|1100001111
C|0.05966587112171838%|11000011101
S|0.05966587112171838%|11110100010
8|0.05966587112171838%|11000011100
7|0.05966587112171838%|11110100000
D|0.05966587112171838%|10101000101
U|0.05966587112171838%|10101000100
M|0.05966587112171838%|11110100001
F|0.05966587112171838%|11110100011
Total Bits:7271
