Symbol|Frequency|Huffman Codes
e|12.46%|011
i|9.99%|001
t|8.85%|000
o|8.01%|1110
n|6.98%|1011
r|6.619999999999999%|1010
s|6.08%|1000
a|5.18%|0100
l|4.15%|11111
d|4.09%|11110
h|3.9699999999999998%|11011
c|3.91%|11010
p|3.19%|10010
u|2.83%|01011
f|1.9900000000000002%|110011
g|1.87%|110001
v|1.81%|110000
m|1.51%|100110
T|0.8999999999999999%|1100100
w|0.8999999999999999%|1001110
y|0.7799999999999999%|0101011
b|0.72%|0101010
A|0.6%|0101000
I|0.54%|11001011
V|0.42%|10011110
x|0.24%|100111111
k|0.18%|010100111
1|0.18%|010100101
W|0.12%|1100101010
q|0.12%|1100101011
j|0.12%|1100101001
5|0.12%|010100100
S|0.06%|01010011010
D|0.06%|10011111000
C|0.06%|10011111010
M|0.06%|0101001100
8|0.06%|01010011011
7|0.06%|10011111011
3|0.06%|10011111001
U|0.06%|11001010000
F|0.06%|11001010001
Total Bits:7147
