Symbol|Frequency|Huffman Codes
e|12.46%|011
i|9.99%|001
t|8.85%|000
o|8.01%|1110
n|6.98%|1011
r|6.619999999999999%|1010
s|6.08%|1000
a|5.18%|0100
l|4.15%|11111
d|4.09%|11110
h|3.9699999999999998%|11011
c|3.91%|11010
p|3.19%|10010
u|2.83%|01011
f|1.9900000000000002%|110011
g|1.87%|110001
v|1.81%|100111
m|1.51%|100110
w|0.8999999999999999%|1100001
T|0.8999999999999999%|1100000
y|0.7799999999999999%|0101011
b|0.72%|0101010
A|0.6%|0101000
I|0.54%|11001011
V|0.42%|11001000
x|0.24%|110010011
k|0.18%|010100111
1|0.18%|010100101
j|0.12%|1100100101
W|0.12%|1100101001
5|0.12%|010100100
q|0.12%|1100101011
8|0.06%|01010011010
7|0.06%|11001010101
S|0.06%|11001001000
3|0.06%|0101001100
U|0.06%|11001001001
C|0.06%|11001010100
M|0.06%|01010011011
F|0.06%|11001010001
D|0.06%|11001010000
Total Bits:7147
